amz_url,style_id,flip_url,flip_pdp_link
https://www.amazon.in/dp/B097TMXJZZ,P-87_303_T_HPN_L,https://www.flipkart.com/search?q=juneberry%20P-87_303_T_HPN_L,https://www.flipkart.com/x/p/k?pid=TSHGFRXWBHNZCCTG
https://www.amazon.in/dp/B09P1NKCQM,PUFF_SL_97_YELLOW_L,https://www.flipkart.com/search?q=veirdo%20PUFF_SL_97_YELLOW_L,https://www.flipkart.com/x/p/k?pid=TSHG9WNQGHFZ9FMH
https://www.amazon.in/dp/B0B6BYQH4L,P_BOX_402_N_3XL,https://www.flipkart.com/search?q=veirdo%20P_BOX_402_N_3XL,https://www.flipkart.com/x/p/k?pid=CWDG45UWAQTZTZEZ
https://www.amazon.in/dp/B09ZXT3D8Y,P_DGF2211_W_3XL,https://www.flipkart.com/search?q=juneberry%20P_DGF2211_W_3XL,https://www.flipkart.com/x/p/k?pid=DREGCYW4JTFVHDEZ
https://www.amazon.in/dp/B0B3TR92N4,P_DMK2206_R_L,https://www.flipkart.com/search?q=juneberry%20P_DMK2206_R_L,https://www.flipkart.com/x/p/k?pid=DREGCYW5UZZSKZAQ
https://www.amazon.in/dp/B09ZXWBRMF,P_DMK2210_W_L,https://www.flipkart.com/search?q=juneberry%20P_DMK2210_W_L,https://www.flipkart.com/x/p/k?pid=TOPFMGMTNERVZZHY
https://www.amazon.in/dp/B09XX7PHZS,P_MCA2230_W,https://www.flipkart.com/search?q=juneberry%20P_MCA2230_W,https://www.flipkart.com/x/p/k?pid=TSHG4NWSH6KRBP55
https://www.amazon.in/dp/B0BDRD4YMH,P_SUPERIOR_400_OL_L,https://www.flipkart.com/search?q=veirdo%20P_SUPERIOR_400_OL_L,https://www.flipkart.com/x/p/k?pid=TSHGHYHFYXZFJRWJ
https://www.amazon.in/dp/B0B41XD126,SLP_CORDS_2001_M,https://www.flipkart.com/search?q=juneberry%20SLP_CORDS_2001_M,NA
https://www.amazon.in/dp/B0B88FTK62,TB_TD_2003_BR_3XL,https://www.flipkart.com/search?q=juneberry%20TB_TD_2003_BR_3XL,https://www.flipkart.com/x/p/k?pid=TKSGGRCPEYZK7UJW
https://www.amazon.in/dp/B09X5DT3KV,T_DBM2218_BL_L,https://www.flipkart.com/search?q=juneberry%20T_DBM2218_BL_L,https://www.flipkart.com/x/p/k?pid=TSHFVT9TSGHBK6FY
https://www.amazon.in/dp/B0B1N5RGGS,T_DMF2222_SN_M,https://www.flipkart.com/search?q=juneberry%20T_DMF2222_SN_M,https://www.flipkart.com/x/p/k?pid=TOPGCYVHCQFTJXPB
